Country,Latitude,Longitude,SiteID,SiteName,Slope,Profile cu,ele30m,Tangential,Aspect
Great Britain,53.26270,-1.19635,S6313,Creswell Crags,7.92265,-0.00202,75.00000,-0.00182,54.44370
Great Britain,50.33170,-5.15208,S6314,Crig Mennis,7.87864,0.00236,77.00000,0.00160,330.19949
Great Britain,51.63690,0.65058,S6315,Crouch Estuary,0.00000,0.00000,0.00000,0.00000,0.00000
Great Britain,51.56550,-1.11841,S6316,Crowmarsh,1.87288,-0.00145,47.00000,-0.00146,172.89487
Great Britain,55.88410,-5.91971,S6317,Cula'Bhaile,0.80765,-0.00091,69.00000,0.00059,300.67044
Great Britain,57.63870,-3.69029,S6318,Culbin Sands,8.68311,-0.00098,16.00000,-0.00133,50.10841
Great Britain,55.72510,-6.46636,S6319,Cultoon,0.47116,0.00085,98.00000,-0.00013,330.56094
Great Britain,51.52580,0.14811,S6320,Dagenham Marshes,2.22792,0.00089,3.00000,0.00035,360.00000
Great Britain,51.28170,-1.05931,S6321,Daneshill,3.24105,0.00000,102.00000,-0.00000,90.00000
Great Britain,50.63990,-4.62660,S6322,Davidstow Moor Site,1.66240,0.00074,294.00000,0.00108,257.33871
Great Britain,55.01400,-3.79084,S6323,Deanston Burn,0.92634,-0.00105,93.00000,-0.00000,270.00000
Great Britain,56.02590,-3.97704,S6324,Denny,2.12375,-0.00164,201.00000,0.00028,281.22256
Great Britain,50.95550,-2.06551,S6325,Deverel-Rimbury,7.66324,0.00721,140.00000,0.00193,181.72275
Great Britain,51.74000,-1.40600,S6326,Devil's Quoit,1.97032,0.00022,69.00000,0.00187,124.61807
Great Britain,51.73900,-1.40471,S6327,Devil's Quoits,0.74646,-0.00181,65.00000,-0.00174,180.00000
Great Britain,50.87780,-0.20029,S6328,Devil Dyke,7.61197,0.00021,187.00000,0.00039,272.74222
Great Britain,52.05210,1.27036,S6329,Devil Ring Barrow,3.99427,0.00055,26.00000,0.00093,67.92705
Great Britain,53.26800,-3.54756,S6330,Dinorben,16.20196,-0.00229,119.00000,0.00095,192.86493
Great Britain,56.41460,-5.47126,S6331,Distillery Cave,10.43936,-0.00370,14.00000,-0.00011,224.58026
Great Britain,51.64850,-1.15872,S6332,Dorchester Cursus,1.60937,0.00196,50.00000,0.00117,313.96436
Great Britain,51.92000,1.26497,S6333,Dovercourt Bay,1.49867,-0.00274,0.00000,0.00000,360.00000
Great Britain,50.93350,-2.00158,S6334,Down Farm,0.78605,-0.00093,67.00000,0.00049,117.81178
Great Britain,51.38200,1.42790,S6335,Down Park Estate,1.99565,-0.00006,40.00000,0.00149,111.77728
Great Britain,55.97170,-2.44226,S6336,Dryburn Bridge,2.36583,-0.00191,28.00000,-0.00172,330.71701
Great Britain,56.06140,-3.41824,S6337,Dunfermline,0.92618,0.00104,73.00000,0.00000,270.00000
Great Britain,54.77750,-1.57864,S6338,Durham Milburnegate,4.86471,0.00117,41.00000,-0.00014,34.74735
Great Britain,51.19730,-1.83683,S6339,Durrington down,1.13044,0.00228,103.00000,-0.00024,348.17136
Great Britain,51.70270,-5.15243,S6340,Dyfed,14.72086,0.00218,23.00000,-0.00193,231.72910
Great Britain,53.26210,-1.60118,S6341,Eaglestone,1.80146,-0.00186,280.00000,-0.00000,30.94675
Great Britain,51.17550,-1.73676,S6342,Earles Farm,3.54901,-0.00111,121.00000,-0.00135,231.50049
Great Britain,53.64020,0.13154,S6343,Easington,0.45346,-0.00030,1.00000,0.00039,30.72125
Great Britain,54.16470,-0.56316,S6344,East Heslerton Wold,0.79915,0.00066,162.00000,0.00106,60.40153
Great Britain,51.19030,-2.90304,S6345,East Huntspill,0.78697,0.00093,4.00000,-0.00050,117.94377
Great Britain,51.07580,-1.28895,S6346,Easton Lane,8.28496,-0.00011,65.00000,0.00054,228.59134
Great Britain,51.98670,-0.20424,S6347,Ebbsfleet,2.20431,0.00152,81.00000,0.00164,31.69199
Great Britain,51.16150,-2.78806,S6348,Eclipse,2.35942,-0.00232,2.00000,-0.00180,242.07118
Great Britain,53.12060,-1.85206,S6349,Ecton Hill,14.10678,-0.00012,335.00000,0.00076,52.03700
Great Britain,51.40900,-0.30318,S6350,Eden Walk,2.46109,-0.00099,12.00000,-0.00048,41.20384
Great Britain,51.18260,-2.85853,S6351,Edington Burtle,1.96278,-0.00019,3.00000,-0.00184,235.71017
Great Britain,50.90330,-1.93457,S6352,Edmondsham,2.36241,0.00028,73.00000,-0.00081,51.66525
Great Britain,51.43290,-0.53826,S6353,Egham Sports Field,2.83987,-0.00454,16.00000,-0.00123,335.94043
Great Britain,54.44840,-3.54239,S6354,Ehenside Tarn,3.01728,-0.00278,27.00000,-0.00029,217.84779
Great Britain,55.58680,-2.70607,S6355,Eildon Hill North,19.13190,-0.00144,362.00000,-0.00276,293.00806
Great Britain,53.24140,-4.43843,S6356,Eithin,2.41133,0.00119,39.00000,0.00171,129.81073
Great Britain,57.90740,-3.99660,S6357,Embo,1.73906,-0.00368,9.00000,0.00000,360.00000
Great Britain,53.02160,-4.07854,S6358,Emrys,28.70446,0.00318,105.00000,0.00148,303.44220
Great Britain,52.36280,0.56456,S6359,Eriswell,2.11847,-0.00253,21.00000,-0.00578,259.71301
Great Britain,54.70070,-3.49763,S6360,Ewanrigg,0.92639,-0.00105,10.00000,0.00000,90.00000
Great Britain,53.16200,-1.86537,S6361,Fawfieldhead,3.82396,0.00009,271.00000,0.00056,334.94626
Great Britain,52.50370,0.49318,S6362,Feltwell,1.16225,0.00241,1.00000,-0.00024,11.49770
Great Britain,52.63870,-0.20721,S6363,Fen Dyke,0.89153,-0.00206,2.00000,-0.00076,328.68594
Great Britain,52.57400,-0.20984,S6364,Fengate,1.62553,0.00203,7.00000,0.00119,314.56168
Great Britain,51.63700,0.60433,S6365,Fenn Creek,3.24085,0.00139,4.00000,0.00360,270.00000
Great Britain,50.81030,-0.45415,S6366,Ferring,3.06683,0.00010,3.00000,0.00095,197.57794
Great Britain,51.42810,-1.02898,S6367,Field Farm,1.13588,0.00230,43.00000,-0.00024,191.77066
Great Britain,52.35660,0.43494,S6368,Fifty Farm,0.75683,-0.00186,4.00000,0.00035,360.00000
Great Britain,52.67080,-1.72343,S6369,Fisherwick,0.44603,-0.00021,57.00000,0.00166,31.29524
Great Britain,50.70740,-2.41925,S6370,Flagstones House,5.11315,0.00022,72.00000,0.00082,295.28824
Great Britain,53.41760,-1.38756,S6371,Flat Dyke,0.00000,0.00000,39.00000,0.00000,0.00000
Great Britain,57.59840,-4.49349,S6372,Fodderty,3.23765,0.00104,20.00000,0.00000,90.00000
Great Britain,51.85300,-3.83836,S6373,Foel Fawr,25.06693,0.00411,521.00000,0.00107,151.60295
Great Britain,50.70600,-2.42770,S6374,Fordington Farm,3.77407,-0.00037,65.00000,-0.00084,281.13614
Great Britain,57.32920,-1.97840,S6375,Forvie,2.24894,-0.00138,26.00000,-0.00093,342.02054
Great Britain,51.72390,-2.31130,S6376,Frocester Court,3.07168,-0.00075,41.00000,0.00013,148.15753
Great Britain,52.22960,-3.23003,S6377,Fronddyrys,6.94532,0.00156,420.00000,0.00285,254.31616
Great Britain,52.24420,-3.94824,S6378,Fulbrook,0.44291,-0.00076,163.00000,0.00013,328.45654
Great Britain,56.17390,-3.40627,S6379,Gairneybank,0.47531,-0.00087,115.00000,0.00013,150.84566
Great Britain,50.66690,-1.37450,S6380,Gallibury Down,0.72934,0.00000,199.00000,0.00209,360.00000
Great Britain,54.00150,-0.75341,S6381,Garrowby,0.92649,0.00105,244.00000,0.00000,90.00000
Great Britain,51.16340,-2.76663,S6382,Glastonbury,2.77662,-0.00006,1.00000,-0.00216,293.44885
Great Britain,54.46310,-0.55889,S6383,GnipeHowe,1.60077,0.00079,105.00000,0.00026,299.77805
Great Britain,52.87080,-4.06537,S6384,Goedog,8.09270,-0.00225,304.00000,-0.00028,199.95384
Great Britain,51.73960,0.72324,S6385,Goldhanger,1.14335,0.00242,6.00000,0.00177,191.69202
Great Britain,53.01940,-4.29465,S6386,Graenog,2.04205,-0.00249,143.00000,-0.00077,160.10956
Great Britain,53.04880,-3.53223,S6387,Graig Fechan,4.09699,-0.00217,411.00000,-0.00212,73.67734
